167,184,470,605,713,Tank
168,9,76,106,249,Physical Sweeper
187,155,249,307,364,Drainer
313,106,249,352,712,Mixed Sweeper
324,712,713,773,774,Hybrid
651,361,371,638,741,Special Sweeper
