53,106,249,738,741,Hybrid
164,184,237,712,713,Tank
313,106,249,352,712,Mixed Sweeper
400,106,131,249,352,Drainer
520,106,352,663,738,Physical Sweeper
719,518,712,713,774,Special Sweeper
