,0,1
0,-224.06,-3244.8029702970293
1,-448.12,-2884.269306930693
2,-672.1800000000001,-2523.735643564356
3,-896.24,-2163.2019801980196
4,-1120.3,-1802.668316831683
5,-1344.36,-1442.1346534653464
6,-1568.42,-1081.6009900990096
7,-1792.48,-721.067326732673
8,-2016.54,-360.5336633663365
9,-2240.6,-0.0
